Nutrient_Bank_Number,name,value
91108000,Carbohydrate,100
91108020,Carbohydrate,100
91101020,Carbohydrate,99.77
91101020,Sugar_Total,97.81
91101000,Carbohydrate,99.6
91101000,Sugar_Total,99.8
91101010,Carbohydrate,99.6
91101010,Sugar_Total,99.8
91106010,Carbohydrate,99.35
91106010,Sugar_Total,99.22
11830400,Carbohydrate,99.1
11830400,Sugar_Total,95.45
92900100,Carbohydrate,98.94
92900100,Sugar_Total,92.31
92900100,Calcium,385
92900100,Vitamin_C,230.8
91745010,Carbohydrate,98.9
91745010,Sugar_Total,58.97
91770000,Carbohydrate,98.6
91770020,Carbohydrate,98.6
91770050,Carbohydrate,98.6
92307400,Carbohydrate,98.55
92307400,Sugar_Total,95.29
91104100,Carbohydrate,98.27
91104100,Sugar_Total,92.99
91102010,Carbohydrate,98.09
91102010,Sugar_Total,97.02
91700010,Carbohydrate,98
91700010,Sugar_Total,62.9
91745020,Carbohydrate,98
91745020,Sugar_Total,62.9
92900110,Carbohydrate,97.9
92900110,Sugar_Total,97.15
92900110,Magnesium,165
92900300,Carbohydrate,97.9
92900300,Sugar_Total,97.15
92900300,Magnesium,165
91801000,Carbohydrate,96.7
91801000,Sugar_Total,66.08
62120000,Beta_Cryptoxanthin,1922
62120000,Carbohydrate,96.07
62120000,Fiber,9.6
62120000,Sugar_Total,80.06
91800100,Carbohydrate,95.37
92191400,Carbohydrate,94.92
92191400,Sugar_Total,80.48
92191400,Potassium,686
91802000,Carbohydrate,94.8
91721000,Carbohydrate,93.55
91721000,Sugar_Total,70
91707000,Carbohydrate,93.18
91707000,Sugar_Total,88.9
11830260,Carbohydrate,92.96
11830260,Niacin,18.182
11830260,Retinol,1365
11830260,Sugar_Total,72.73
11830260,Thiamin,1.364
11830260,Calcium,909
11830260,Copper,1.818
11830260,Iron,16.36
11830260,Magnesium,218
11830260,Zinc,13.64
11830260,Vitamin_A_-_RAE,1365
11830260,Vitamin_B6,1.818
11830260,Vitamin_C,54.5
11830260,Vitamin_E,12.27
91726000,Carbohydrate,92.39
91726000,Sugar_Total,44.97
91708070,Carbohydrate,91.96
91708070,Sugar_Total,78.57
91708070,Sodium,1643
57216000,Carbohydrate,91.3
57216000,Niacin,16.7
57216000,Retinol,1250
57216000,Riboflavin,1.42
57216000,Sugar_Total,40.2
57216000,Thiamin,1.25
57216000,Iron,18
